TestDay,TestMonth,TestYear,DailyMinMeanThroughputMbps,DailyMinMinRTTDay,DailyMinLossRate,DailyMaxMeanThroughputMbps,DailyMaxMinRTTDay,DailyMaxLossRate,ServerSite
17,6,2020,1.8232477570542753,207.054,0.012514639451229714,1.8232477570542753,207.054,0.012514639451229714,gru03
9,7,2020,8.0112414774678964,12.0,0.0043859068281895527,48.082792251327945,15.254,0.015151141208598068,gru01
9,7,2020,1.5958707379412884,11.024,0.0081924318266894253,73.4330802739913,16.986,0.27211546998744507,gru02
9,7,2020,35.327219285620217,13.086,0.025078789602376014,78.749164588269508,15.663,0.076393422239534145,gru03
10,7,2020,11.808759360613942,9.946,0.00041646361857745244,90.776263455650422,15.543,0.022357849689329339,gru01
10,7,2020,9.2565920866999338,13.668,4.9130226750095445e-05,92.230637054388083,17.231,0.06777225788549418,gru02
10,7,2020,91.62967946094868,11.264,1.2373745425297787e-05,91.62967946094868,11.264,1.2373745425297787e-05,gru03
10,7,2020,9.8658133587910761,9.232,0.00022404145559312965,92.194120171163092,17.146,0.0833071884302042,gru04
11,7,2020,32.479385141718183,36.436,0.13094178079401383,32.479385141718183,36.436,0.13094178079401383,gru01
11,7,2020,45.416213370836985,11.462,0.00050448793694895752,45.738969426473375,13.452,0.003670739681804573,gru03
11,7,2020,0.22802442146562044,15.517,0.011030598950954039,43.456400605195761,257.095,0.01571413552888579,gru04
12,7,2020,0.0,0.0,0.0,33.361557431335484,16.845,0.083931476769455476,gru01
12,7,2020,17.837556167654732,11.524,0.0014992309520205278,17.837556167654732,11.524,0.0014992309520205278,gru02
12,7,2020,24.198048250283364,11.948,0.0070083718314095118,94.034976737637663,13.82,0.059534656381437595,gru03
12,7,2020,8.111535647963537,12.988,0.0018020220038108049,34.501689641382832,15.728,0.15762555667698172,gru04
12,7,2020,6.4917375230449839,317.312,0.0,42.723098591971826,321.0,0.23463594439596452,nbo01
13,7,2020,31.42307973738356,12.073,0.048427233837269157,47.142331114233109,12.517,0.084758138452716,gru01
13,7,2020,14.392718418534228,9.309,0.0796388979772964,14.392718418534228,9.309,0.0796388979772964,gru02
13,7,2020,2.209492573765238,12.037,0.0,52.122400200079568,42.853,0.07352006500260154,gru03
13,7,2020,6.9004930652172671,13.285,0.012601268045839708,51.94641720535828,115.763,0.16903582176170254,gru04
13,7,2020,3.1749997405732984,344.375,0.1651557945406846,3.1749997405732984,344.375,0.1651557945406846,nbo01
14,7,2020,16.446797606248722,32.181,0.12503771140475914,16.446797606248722,32.181,0.12503771140475914,gru01
14,7,2020,25.297198477099897,8.989,0.019073815381513821,52.462019413941761,24.396,0.090806546469919147,gru02
14,7,2020,10.213527565241405,11.595,0.013355254364364789,30.494623582802944,16.956,0.14087515678868015,gru03
14,7,2020,33.1797473508802,10.479,0.0015948852710384149,62.889774303916809,16.651,0.13438078645283774,gru04
15,7,2020,3.3317406759264641,10.653,0.0037595878915644746,52.901524693523363,13.296,0.052368380896581836,gru01
15,7,2020,21.85443800813265,10.818,0.00012469274546164251,49.08820322097317,12.918,0.01076797089490583,gru02
15,7,2020,1.4527990630269296,12.325,0.0056742937311605353,75.4346771092759,25.975,0.087020851829716667,gru03
15,7,2020,19.006454951514325,14.043,0.0059330292138523519,27.932318814520805,29.938,0.010455153718046457,gru04
15,7,2020,9.5483083881750819,338.275,0.014435468955650666,21.836466640469293,338.529,0.053229988685688005,nbo01
16,7,2020,32.2922374238763,12.0,0.0058730563843688091,47.876047628761242,15.0,0.0751149536332496,gru01
16,7,2020,5.0909202721888693,11.2,0.0064705154640587034,62.4100095505315,17.478,0.12510743553884346,gru02
16,7,2020,29.608774152103262,12.366,0.0062605445146742935,35.239230994304677,17.567,0.15744445139678911,gru03
17,7,2020,30.12244501387158,14.328,1.3545334371658466e-05,84.715450107299361,21.62,0.00523598324771413,gru02
17,7,2020,32.0453087184443,11.4,0.00795496799862555,84.592798175619151,43.0,0.13279000108483485,gru03
17,7,2020,35.076372002149192,16.111,0.0049558755087101012,35.076372002149192,16.111,0.0049558755087101012,gru04
17,7,2020,31.647774767592882,355.965,0.0,31.647774767592882,355.965,0.0,nbo01
18,7,2020,25.181337194030984,13.216,0.11956939812573249,25.181337194030984,13.216,0.11956939812573249,gru01
18,7,2020,91.011374467014051,12.715,0.025110316206145202,91.011374467014051,12.715,0.025110316206145202,gru04
19,7,2020,28.640321522686907,10.174,0.006606624390102748,81.8596401395775,15.614,0.0078781708518620378,gru02
19,7,2020,30.147425480975478,13.624,0.12773533947301965,30.147425480975478,13.624,0.12773533947301965,gru03
20,7,2020,81.691917139021854,11.042,0.0033103778798896639,81.691917139021854,11.042,0.0033103778798896639,gru01
20,7,2020,37.485617647376465,15.839,0.095505510315144634,37.485617647376465,15.839,0.095505510315144634,gru04
21,7,2020,1.121612495032269,11.256,0.071205456312201987,49.4040243568176,16.936,0.079265617904680064,gru01
21,7,2020,20.843820905600015,12.0,0.032728551071722921,20.843820905600015,12.0,0.032728551071722921,gru02
21,7,2020,34.957088295708829,15.0,0.0444808217816627,34.957088295708829,15.0,0.0444808217816627,gru03
21,7,2020,0.21594004724877575,15.972,0.0229051496958529,3.3063917148541884,25.153,0.18493815968399921,gru04
22,7,2020,35.965251957904833,13.233,0.095831094393336175,35.965251957904833,13.233,0.095831094393336175,gru01
23,7,2020,17.950965711596147,12.346,0.0010077961287713621,17.950965711596147,12.346,0.0010077961287713621,gru01
23,7,2020,48.141459467972176,11.303,0.017866518676525361,48.141459467972176,11.303,0.017866518676525361,gru02
