TestDay,TestMonth,TestYear,DailyAverageMeanThroughputMbps,DailyAverageMinRTTDay,DailyAverageLossRate,ServerSite
17,6,2020,1.8232477570542753,207.054,0.012514639451229714,gru03
9,7,2020,32.864397531402695,14.0155,0.01079796725841993,gru01
9,7,2020,41.497517965114845,13.7886,0.080651222169651468,gru02
9,7,2020,57.038191936944862,14.374500000000001,0.05073610592095508,gru03
10,7,2020,50.476501525645375,12.424249999999999,0.007440772899398037,gru01
10,7,2020,43.929474055637229,15.041333333333334,0.030694038386552876,gru02
10,7,2020,91.62967946094868,11.264,1.2373745425297787e-05,gru03
10,7,2020,59.174739008134544,13.134,0.013353560127492578,gru04
11,7,2020,32.479385141718183,36.436,0.13094178079401383,gru01
11,7,2020,45.57759139865518,12.457,0.0020876138093767651,gru03
11,7,2020,28.725060987039836,96.661333333333346,0.013949210340221578,gru04
12,7,2020,18.299596177048187,10.3505,0.037264199962207131,gru01
12,7,2020,17.837556167654732,11.524,0.0014992309520205278,gru02
12,7,2020,56.322593549531881,12.708333333333334,0.02487155713497273,gru03
12,7,2020,20.578802367290137,13.839,0.072288424346526339,gru04
12,7,2020,32.339050314318733,319.032,0.035118995703751682,nbo01
13,7,2020,39.282705425808331,12.295,0.066592686144992586,gru01
13,7,2020,14.392718418534228,9.309,0.0796388979772964,gru02
13,7,2020,26.170994382049987,27.7266,0.031959985143610634,gru03
13,7,2020,31.924448746953246,34.579599999999992,0.07551530755208033,gru04
13,7,2020,3.1749997405732984,344.375,0.1651557945406846,nbo01
14,7,2020,16.446797606248722,32.181,0.12503771140475914,gru01
14,7,2020,37.370916484172369,14.653500000000001,0.050353395750287328,gru02
14,7,2020,20.354075574022175,14.275500000000001,0.077115205576522475,gru03
14,7,2020,45.060563148369162,14.175285714285716,0.057897847198350463,gru04
15,7,2020,23.84651030865335,11.72975,0.020510812848008698,gru01
15,7,2020,37.960559493195326,11.974799999999998,0.0053705350435654994,gru02
15,7,2020,30.142536579524602,16.560166666666667,0.036048467557463167,gru03
15,7,2020,23.469386883017563,21.990499999999997,0.0081940914659494046,gru04
15,7,2020,13.743353720302435,338.36633333333333,0.03615659831251862,nbo01
16,7,2020,39.666965347902831,12.84525,0.03981918842393465,gru01
16,7,2020,35.419825618540415,14.185833333333335,0.055906351907590156,gru02
16,7,2020,32.518123518791782,13.961,0.082451697078752884,gru03
17,7,2020,46.507641083396393,16.811,0.0022022630295297982,gru02
17,7,2020,50.381805033152659,22.682666666666666,0.0654984672956486,gru03
17,7,2020,35.076372002149192,16.111,0.0049558755087101012,gru04
17,7,2020,31.647774767592882,355.965,0.0,nbo01
18,7,2020,25.181337194030984,13.216,0.11956939812573249,gru01
18,7,2020,91.011374467014051,12.715,0.025110316206145202,gru04
19,7,2020,55.249980831132206,12.894,0.0072423976209823934,gru02
19,7,2020,30.147425480975478,13.624,0.12773533947301965,gru03
20,7,2020,81.691917139021854,11.042,0.0033103778798896639,gru01
20,7,2020,37.485617647376465,15.839,0.095505510315144634,gru04
21,7,2020,25.262818425924937,14.096,0.075235537108441025,gru01
21,7,2020,20.843820905600015,12.0,0.032728551071722921,gru02
21,7,2020,34.957088295708829,15.0,0.0444808217816627,gru03
21,7,2020,1.2998200870202121,19.3788,0.091028213586673692,gru04
22,7,2020,35.965251957904833,13.233,0.095831094393336175,gru01
23,7,2020,17.950965711596147,12.346,0.0010077961287713621,gru01
23,7,2020,48.141459467972176,11.303,0.017866518676525361,gru02
23,7,2020,16.653433620953869,11.684000000000001,0.02477022619925346,gru03
23,7,2020,23.055461688614869,14.874500000000001,0.00947056651370131,gru04
24,7,2020,32.85706773654281,15.422333333333333,0.0077867725990427555,gru01
24,7,2020,32.429234000130307,13.307,0.02345159962814965,gru02
24,7,2020,3.281355943578975,17.488,0.010166445284251995,gru03
24,7,2020,18.101884464406396,13.669,0.065615341387914028,gru04
25,7,2020,22.617155562272426,12.195250000000001,0.0447456558023927,gru01
25,7,2020,28.205173718784941,14.2735,0.0007707399380520296,gru02
25,7,2020,66.933361081351,12.461,0.032645834673249628,gru03
25,7,2020,25.392546108274637,13.726,0.014659153571489614,gru04
26,7,2020,65.098770982337925,10.8445,0.028860498886928765,gru01
26,7,2020,36.127791711791389,11.540500000000002,0.001136285975809787,gru02
26,7,2020,26.971841851319638,14.683499999999999,0.062148990080313382,gru03
26,7,2020,45.5780218977071,14.43,0.10341618852114277,gru04
27,7,2020,41.055165651754564,10.304,0.039124261194425164,gru01
27,7,2020,31.483371951421532,13.97,0.011774604329827118,gru02
27,7,2020,20.835881064719143,22.848,0.0,gru03
27,7,2020,2.1876364060488145,14.084,0.079730709476954945,gru04
28,7,2020,0.22884135539111089,202.0,0.051879571355672734,gru01
28,7,2020,31.709579000792324,17.6946,0.048980992793525926,gru02
28,7,2020,25.970363545059193,13.647,0.11954463258613875,gru03
28,7,2020,28.877677127470061,15.717,0.10383293486296533,gru04
28,7,2020,3.9035294203495665,348.364875,0.085753953154908372,nbo01
29,7,2020,19.3508698476329,21.02025,0.096971021305811186,gru01
29,7,2020,32.917067247260235,12.133615384615384,0.028764986358448721,gru02
29,7,2020,29.643847488586349,13.126909090909091,0.048981790978675527,gru03
29,7,2020,26.579657740701645,15.248272727272726,0.064139626602408822,gru04
30,7,2020,32.993171177285447,14.754692307692308,0.053506333708791945,gru01
30,7,2020,32.182890020398382,13.163619047619047,0.06157462513261152,gru02
30,7,2020,29.621282219635273,13.68478947368421,0.045298171373493935,gru03
30,7,2020,21.939395875203367,14.44465,0.070186805512451073,gru04
30,7,2020,6.296550110272257,347.80866666666668,0.1549080716861401,nbo01
31,7,2020,26.230349628986847,17.451476190476196,0.073904938758525537,gru01
31,7,2020,42.842838903651931,16.4335,0.039218410354975052,gru02
31,7,2020,37.13714303032107,14.365949999999998,0.046717869698867591,gru03
31,7,2020,37.28630367320558,14.614000000000003,0.04176439521093521,gru04
31,7,2020,8.1749545350040336,347.20125,0.11882557861735339,nbo01
1,8,2020,32.858034815999169,18.3907,0.049652461250596282,gru01
1,8,2020,37.440542146970422,11.654000000000002,0.053577545038495961,gru02
1,8,2020,34.581436651944522,14.548666666666666,0.028520302669926445,gru03
1,8,2020,40.559160542760296,13.782285714285715,0.047820184565742684,gru04
1,8,2020,11.635522442075153,347.37566666666669,0.17838875174589464,nbo01
2,8,2020,33.575383988403814,14.8761,0.038007169410654573,gru01
2,8,2020,49.290169619295568,13.037923076923077,0.047525655538657,gru02
2,8,2020,46.669391058873693,11.2515,0.044129009516634531,gru03
2,8,2020,38.131694540817669,14.697000000000001,0.047389800436383786,gru04
2,8,2020,0.6017369976635728,348.938,0.001750617865128869,nbo01
3,8,2020,60.178697813366433,13.1449,0.05818952250668958,gru01
3,8,2020,38.074530936086347,12.173555555555554,0.057767501050410758,gru02
3,8,2020,52.524897219130963,11.936090909090909,0.032719482781698506,gru03
3,8,2020,38.266262549829477,25.0024,0.032122342495916216,gru04
4,8,2020,64.483320207765573,15.406363636363634,0.045500043211446926,gru01
4,8,2020,25.431634430276851,16.332600000000003,0.028952151376739139,gru02
4,8,2020,31.28562365334728,25.242736842105259,0.030404983155609744,gru03
4,8,2020,33.298329756559205,19.506666666666668,0.057701940908607925,gru04
4,8,2020,7.0402642730914256,358.2535,0.035705711594191537,nbo01
5,8,2020,71.13604367146705,21.718615384615383,0.078121995811967063,gru01
5,8,2020,62.490130022768923,14.071545454545454,0.087917497827806612,gru02
5,8,2020,62.880503640569188,12.650375,0.066338718952690279,gru03
5,8,2020,46.006430130483572,15.3609,0.08199675540673719,gru04
5,8,2020,0.25612644581010707,350.511,0.016315986267378225,nbo01
6,8,2020,54.006215856975757,19.5531,0.0720569184169598,gru01
6,8,2020,49.644340482709737,12.565999999999999,0.0299315545716798,gru02
6,8,2020,44.206737651544408,12.689916666666667,0.046469667533280579,gru03
6,8,2020,61.669720233954664,14.204636363636363,0.036709425869580245,gru04
7,8,2020,33.296122173948106,12.581562499999999,0.049712673195670042,gru01
7,8,2020,48.704569151235148,15.594181818181818,0.094682074161539689,gru02
7,8,2020,46.049733860505491,16.044588235294118,0.045600365785987619,gru03
7,8,2020,32.679929202029662,14.993416666666667,0.082427510792424136,gru04
8,8,2020,47.4880217288239,13.27825,0.071369232615395309,gru01
8,8,2020,19.1452585757775,18.195777777777778,0.058659005915169864,gru02
8,8,2020,45.687842762041058,14.882636363636363,0.087915324415140036,gru03
8,8,2020,26.380724593907846,14.256944444444445,0.039058394685753672,gru04
9,8,2020,29.251391525088991,12.944499999999998,0.03100633103942672,gru01
9,8,2020,22.870161937770575,17.184199999999997,0.044269732484899585,gru02
9,8,2020,24.595503451395412,16.308999999999997,0.059028209227316386,gru03
9,8,2020,30.500643990225704,13.717,0.086217339346868468,gru04
10,8,2020,26.754983818182566,21.289566666666669,0.055027623374248026,gru01
10,8,2020,32.521175224791882,40.74829166666666,0.0520195472665586,gru02
10,8,2020,28.263653012866619,31.722214285714291,0.070858159958410827,gru03
10,8,2020,24.488402995843906,14.540631578947368,0.052418748702258669,gru04
11,8,2020,31.8324794148737,13.465882352941174,0.058108763217686932,gru01
11,8,2020,22.964880068659895,23.150700000000004,0.037208294786226441,gru02
11,8,2020,26.521502593370329,15.217875,0.034175136035120388,gru03
11,8,2020,29.653327271504157,13.878428571428573,0.041772661286807927,gru04
12,8,2020,14.330936704433119,42.3205,0.043122778805645322,gru01
12,8,2020,25.018939799881959,16.104153846153846,0.042454771444472628,gru02
12,8,2020,29.05781628611474,108.80842105263159,0.055259890009267329,gru03
12,8,2020,41.095039876536056,13.054636363636364,0.018494596400532904,gru04
13,8,2020,19.627648420707839,71.537411764705865,0.045551399845989493,gru01
13,8,2020,24.569179158158249,28.188733333333332,0.027483029485579961,gru02
13,8,2020,37.410949276417732,70.929999999999993,0.038162936578970935,gru03
13,8,2020,27.922782913914098,28.640777777777778,0.030552173030884137,gru04
14,8,2020,37.374370058972247,22.594166666666666,0.014871683764712016,fln01
14,8,2020,27.409521081686304,74.636653846153848,0.062535714992104391,gru01
14,8,2020,28.157388939284463,68.445317073170742,0.089164343467177179,gru02
14,8,2020,22.541920062475452,100.85469565217392,0.10188195890436745,gru03
14,8,2020,28.692421058753361,13.565111111111113,0.0622891857899918,gru04
14,8,2020,8.8433078626867037,347.81080000000003,0.13530177787579523,nbo01
15,8,2020,20.184809672769305,122.30000000000001,0.09585701354847212,gru01
15,8,2020,27.268094567237615,17.708076923076923,0.047501937121485233,gru02
15,8,2020,22.573464384549737,113.83607142857143,0.044320835889224849,gru03
15,8,2020,24.352284450048483,30.715473684210529,0.057039191160790551,gru04
16,8,2020,23.267762517440993,79.91,0.10029803305291879,gru01
16,8,2020,34.640091856689715,17.130894736842109,0.10983905234500946,gru02
16,8,2020,21.989074919471669,55.465480000000014,0.081738966021277851,gru03
16,8,2020,31.954171465544089,12.344090909090909,0.10315871001715254,gru04
16,8,2020,7.7920366875662328,348.03000000000003,0.16856987829992573,nbo01
