date,TestDay,TestMonth,TestYear,DailyMedianMeanThroughputMbps,DailyMedianLossRate,DailyMedianMinRTTDay,ServerSite,rownumber
2020-06-17,17,6,2020,1.8232477570542753,0.012514639451229714,207.054,gru03,1
2020-07-09,9,7,2020,37.681778198407471,0.011827410498446048,14.404,gru01,1
2020-07-09,9,7,2020,49.890066249996835,0.02761176217216486,14.763,gru02,1
2020-07-09,9,7,2020,57.038191936944862,0.05073610592095508,14.374500000000001,gru03,1
2020-07-10,10,7,2020,49.660491643158572,0.0034943891448426792,12.104,gru01,1
2020-07-10,10,7,2020,30.301193025823675,0.024260727047414363,14.225,gru02,1
2020-07-10,10,7,2020,91.62967946094868,1.2373745425297787e-05,11.264,gru03,1
2020-07-10,10,7,2020,50.315658451674992,0.0012453278389790931,13.691,gru04,1
2020-07-11,11,7,2020,32.479385141718183,0.13094178079401383,36.436,gru01,1
2020-07-11,11,7,2020,45.57759139865518,0.0020876138093767651,12.457,gru03,1
2020-07-11,11,7,2020,42.490757934458131,0.015102896540824905,17.372,gru04,1
2020-07-12,12,7,2020,19.918413638428625,0.032562661539686517,12.2785,gru01,1
2020-07-12,12,7,2020,17.837556167654732,0.0014992309520205278,11.524,gru02,1
2020-07-12,12,7,2020,50.734755660674622,0.0080716431920710777,12.357,gru03,1
2020-07-12,12,7,2020,19.850992089907095,0.064863059352656433,13.32,gru04,1
2020-07-12,12,7,2020,37.083332281782305,0.0020753078632703629,319.329,nbo01,1
2020-07-13,13,7,2020,39.282705425808331,0.066592686144992586,12.295,gru01,1
2020-07-13,13,7,2020,14.392718418534228,0.0796388979772964,9.309,gru02,1
2020-07-13,13,7,2020,30.644912122456063,0.025601425247361861,29.03,gru03,1
2020-07-13,13,7,2020,34.879406473268304,0.084068224984737913,14.967,gru04,1
2020-07-13,13,7,2020,3.1749997405732984,0.1651557945406846,344.375,nbo01,1
2020-07-14,14,7,2020,16.446797606248722,0.12503771140475914,32.181,gru01,1
2020-07-14,14,7,2020,35.862224022823895,0.04576661057485816,12.6145,gru02,1
2020-07-14,14,7,2020,20.354075574022175,0.077115205576522475,14.275500000000001,gru03,1
2020-07-14,14,7,2020,45.136149317365415,0.029441589449776238,14.072,gru04,1
2020-07-15,15,7,2020,19.576387932581792,0.012957641301944239,11.485,gru01,1
2020-07-15,15,7,2020,41.149367641517664,0.0051664880298269607,12.082,gru02,1
2020-07-15,15,7,2020,24.92241844630189,0.033911233406345276,15.4055,gru03,1
2020-07-15,15,7,2020,23.469386883017563,0.0081940914659494046,21.990499999999997,gru04,1
2020-07-15,15,7,2020,9.8452861322629346,0.040804337296217179,338.295,nbo01,1
2020-07-16,16,7,2020,39.249788169486905,0.039144371839060096,12.1905,gru01,1
2020-07-16,16,7,2020,37.330104290819889,0.051523974722333353,14.4285,gru02,1
2020-07-16,16,7,2020,32.612244464379586,0.083050896201774055,12.9555,gru03,1
2020-07-17,17,7,2020,35.596334606207321,0.0017797617680167018,15.648,gru02,1
2020-07-17,17,7,2020,34.507308205394523,0.055750432803485357,13.648,gru03,1
2020-07-17,17,7,2020,35.076372002149192,0.0049558755087101012,16.111,gru04,1
2020-07-17,17,7,2020,31.647774767592882,0.0,355.965,nbo01,1
2020-07-18,18,7,2020,25.181337194030984,0.11956939812573249,13.216,gru01,1
2020-07-18,18,7,2020,91.011374467014051,0.025110316206145202,12.715,gru04,1
2020-07-19,19,7,2020,55.2499808311322,0.0072423976209823934,12.894,gru02,1
2020-07-19,19,7,2020,30.147425480975478,0.12773533947301965,13.624,gru03,1
2020-07-20,20,7,2020,81.691917139021854,0.0033103778798896639,11.042,gru01,1
2020-07-20,20,7,2020,37.485617647376465,0.095505510315144634,15.839,gru04,1
2020-07-21,21,7,2020,25.262818425924934,0.075235537108441025,14.096,gru01,1
2020-07-21,21,7,2020,20.843820905600015,0.032728551071722921,12.0,gru02,1
2020-07-21,21,7,2020,34.957088295708829,0.0444808217816627,15.0,gru03,1
2020-07-21,21,7,2020,0.8757602566614614,0.068905475994438969,18.401,gru04,1
2020-07-22,22,7,2020,35.965251957904833,0.095831094393336175,13.233,gru01,1
2020-07-23,23,7,2020,17.950965711596147,0.0010077961287713621,12.346,gru01,1
2020-07-23,23,7,2020,48.141459467972176,0.017866518676525361,11.303,gru02,1
2020-07-23,23,7,2020,16.653433620953869,0.02477022619925346,11.684000000000001,gru03,1
2020-07-23,23,7,2020,23.055461688614869,0.00947056651370131,14.874500000000001,gru04,1
2020-07-24,24,7,2020,33.072147208564964,0.010444846383644348,14.529,gru01,1
2020-07-24,24,7,2020,32.429234000130307,0.02345159962814965,13.307,gru02,1
2020-07-24,24,7,2020,3.281355943578975,0.010166445284251995,17.488,gru03,1
2020-07-24,24,7,2020,14.682360042189183,0.0020411651523185264,13.262,gru04,1
2020-07-25,25,7,2020,19.6565813577878,0.030757693979410927,11.673,gru01,1
2020-07-25,25,7,2020,31.384422183940757,0.00024049035079494718,14.732499999999998,gru02,1
2020-07-25,25,7,2020,56.29026738445242,0.02237398336623057,12.186,gru03,1
2020-07-25,25,7,2020,30.958946202325723,0.00084998004873109594,13.5125,gru04,1
2020-07-26,26,7,2020,65.098770982337925,0.028860498886928768,10.8445,gru01,1
2020-07-26,26,7,2020,36.127791711791389,0.001136285975809787,11.540500000000002,gru02,1
2020-07-26,26,7,2020,26.971841851319638,0.062148990080313389,14.683499999999999,gru03,1
2020-07-26,26,7,2020,45.5780218977071,0.10341618852114277,14.43,gru04,1
2020-07-27,27,7,2020,41.055165651754564,0.039124261194425164,10.304,gru01,1
